uei,start_date,end_date,duration_days,main_cause,location,districts,state,latitude,longitude,severity,area_affected,human_fatality,human_injured,human_displaced,animal_fatality,description_casualties_injured,extent_of_damage,event_source,event_source_id
UEI-IMD-FL-2015-0001,2015-06-20,2015-06-21,1.0,Heavy rains,Unknown,"East Godavari, Srikakulam, Visakhapatnam and West Godavari",ANDHRA  PRADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,i) Damage to 2000 hectares of crops reported. ii) Inundation of low lying areas,IMD,Unknown
UEI-IMD-FL-2015-0002,2015-11-15,2015-11-23,8.0,Heavy rains,Unknown,"Anantapur, Chittoor, East Godavari, Krishna, Nellore, Prakasam, West Godavari, YSR Kadapa",ANDHRA  PRADESH,0.0,0.0,0.0,0.0,88.0,0.0,0.0,16710.0,88 persons died. 16710 animals perished. (844 big animals 3986 small animals & 11880 poultry birds),"i) Extensive damage to Agricultural crops (more than 33% area i.e. 2.18 lakh hectares reported. ii) Rs.786.68/- estimated loss. iii) Damage to 32743 houses reported. iv) 5,673 families in 550 villages affected. v) Extensive damage to 1296.77 km roads reported. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,Unknown
UEI-IMD-FL-2015-0003,2015-12-22,2015-12-22,0.0,Heavy rains,Unknown,Vishakhapatnam,ANDHRA  PRADESH,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4 persons died due to landslips,Landslips ,IMD,Unknown
UEI-IMD-FL-2015-0004,2015-10-06,2015-10-06,0.0,Heavy rains,Unknown,Parts of Arunachal Pradesh,ARUNACHAL PRADESH,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2 persons died.,Unknown,IMD,Unknown
UEI-IMD-FL-2015-0005,2015-02-19,2015-02-19,0.0,Heavy rains,Unknown,Parts of Assam,ASSAM,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2 persons died due to landslide,Unknown,IMD,Unknown
UEI-IMD-FL-2015-0006,2015-01-06,2015-06-06,151.0,Heavy rains,Unknown,"Barpeta, Dhemaji, Golpara",ASSAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,About 900 people of 135 villages affected..,IMD,Unknown
UEI-IMD-FL-2015-0007,2015-09-06,2015-06-17,0.0,Flood(Brahmaputra and tributaries),Unknown,"Baksa, Barpeta, Darrang, Dhemaji,Dibrugarh, Goalpara Jorhat,Kamrup, Kamrup (M), Lakhimpur,Morigaon, Nagaon, Nalbari,Sivsagar, Sonitpur, and Tinsukia",ASSAM,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3 persons died in Sonitpur & Baksa,Unknown,IMD,Unknown
UEI-IMD-FL-2015-0008,2015-06-20,2015-06-24,4.0,Flood (Brahmaputra  and tributaries),Unknown,"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia. ",ASSAM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,One person died.,i)About 27248 people of 72 villages affected.  ii) The crops about 1582 hectares of crop land affected.,IMD,Unknown
UEI-IMD-FL-2015-0009,2015-07-14,2015-07-17,3.0,Flood (Brahmaputra  and tributaries),Unknown,Parts of Assam,ASSAM,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,5 person died & 10 injured due to severe TS on 14th July,"i) 2,89,788 population affected. ii) Extensive damage to 174 villages reported. iii) Damage to cropland of area 18060 hectares reported.",IMD,Unknown
UEI-IMD-FL-2015-0010,2015-08-19,2015-08-23,4.0,Flood (Brahmaputra  and tributaries),Unknown,"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8 persons died,"i) 5,76,537 population affected. ii) Extensive damage to 1200 villages reported. iii) Damage to cropland of area 55,553 hectares reported.",IMD,Unknown
